Wall time,Step,Value
1767726482.9305348,3016,0.14432364702224731
1767726482.962764,3027,0.13440415263175964
1767726482.9712443,3030,0.08653681725263596
1767726482.994561,3038,0.09189102053642273
1767726483.003371,3041,0.13203582167625427
1767726483.073673,3065,0.15495476126670837
1767726483.085062,3069,0.17335689067840576
1767726483.0912287,3071,0.16397695243358612
1767726483.134592,3086,0.13077394664287567
1767726483.172154,3099,0.12434425950050354
1767726483.2384837,3122,0.1475224643945694
1767726483.2821295,3137,0.13003283739089966
1767726483.3055642,3145,0.1168147623538971
1767726483.3197443,3150,0.11563849449157715
1767726483.3343236,3155,0.08931609988212585
1767726483.3457794,3159,0.11726576089859009
1767726483.3514874,3161,0.14289960265159607
1767726483.3981693,3177,0.13666895031929016
1767726483.4496799,3195,0.1577262580394745
1767726483.4525266,3196,0.1294988989830017
1767726483.520685,3203,0.11580401659011841
1767726483.5297832,3206,0.18875589966773987
1767726483.5996993,3230,0.12244977056980133
1767726483.6083536,3233,0.11306867003440857
1767726483.6285398,3240,0.286652535200119
1767726483.6369421,3243,0.07691031694412231
1767726483.639868,3244,0.2842887341976166
1767726483.6455693,3246,0.1703711450099945
1767726483.6484728,3247,0.15282556414604187
1767726483.7209885,3272,0.111506387591362
1767726483.7471912,3281,0.20200645923614502
1767726483.8166375,3305,0.11179693788290024
1767726483.8551586,3313,0.12861797213554382
1767726483.9069278,3327,0.10410097241401672
1767726483.9107082,3328,0.09694518148899078
1767726483.9248147,3333,0.14266178011894226
1767726483.9594471,3345,0.0870455652475357
1767726484.044663,3374,0.1611906886100769
1767726484.0504053,3376,0.13350805640220642
1767726484.0561705,3378,0.13314734399318695
1767726484.126744,3386,0.1057707816362381
1767726484.17579,3403,0.12652671337127686
1767726484.1905227,3408,0.09237976372241974
1767726484.253917,3430,0.08689139783382416
1767726484.262708,3433,0.11052343249320984
1767726484.2776155,3438,0.12847484648227692
1767726484.308381,3449,0.10889070481061935
1767726484.314707,3451,0.10034399479627609
1767726484.3346763,3458,0.11068633198738098
1767726484.3525417,3464,0.20005682110786438
1767726484.3725793,3471,0.14572854340076447
1767726484.3899915,3477,0.12166541069746017
1767726484.3982756,3480,0.09984749555587769
1767726484.4475837,3497,0.10444308817386627
1767726484.481362,3509,0.1653524935245514
1767726484.4904835,3512,0.21475085616111755
1767726484.5110097,3519,0.15926456451416016
1767726484.5574753,3535,0.09298776090145111
1767726484.5631492,3537,0.11321739107370377
1767726484.5804472,3543,0.21560965478420258
1767726484.592295,3547,0.13268359005451202
1767726484.6387937,3563,0.11048361659049988
1767726484.688042,3580,0.18092849850654602
1767726484.7456648,3600,0.1576778143644333
1767726484.79896,3618,0.10159003734588623
1767726484.804581,3620,0.12847408652305603
1767726484.810279,3622,0.16688436269760132
1767726484.8190448,3625,0.08220075070858002
1767726484.8276906,3628,0.0952475368976593
1767726484.8775015,3645,0.13723784685134888
1767726484.908992,3656,0.10043025016784668
1767726484.9498453,3670,0.1173098161816597
1767726485.0370696,3700,0.17458252608776093
1767726485.0908732,3702,0.10874726623296738
1767726485.162467,3726,0.1789860725402832
1767726485.1739454,3730,0.1745852380990982
1767726485.18049,3732,0.13279710710048676
1767726485.1978462,3738,0.08968637883663177
1767726485.2064993,3741,0.10515718162059784
1767726485.2122247,3743,0.12303302437067032
1767726485.2385275,3752,0.12917838990688324
1767726485.2587059,3759,0.1223398819565773
1767726485.2975214,3772,0.10173240303993225
1767726485.3207247,3780,0.1074020266532898
1767726485.3590899,3793,0.07574228197336197
1767726485.365066,3795,0.10099996626377106
1767726485.373642,3798,0.1348882019519806
1767726485.4083374,3810,0.11066049337387085
1767726485.4196267,3814,0.1335485279560089
1767726485.4348817,3819,0.11790285259485245
1767726485.440573,3821,0.15228408575057983
1767726485.4696958,3831,0.14992377161979675
1767726485.4812365,3835,0.21499034762382507
1767726485.5663512,3864,0.13349373638629913
1767726485.5797956,3869,0.14572806656360626
1767726485.6015768,3876,0.11772693693637848
1767726485.725714,3902,0.1622307300567627
1767726485.7781138,3920,0.06909777224063873
1767726485.801365,3928,0.1271127611398697
1767726485.8218422,3935,0.13698872923851013
1767726485.8340552,3939,0.1847015768289566
1767726485.8671012,3950,0.09903693944215775
1767726485.884351,3956,0.13726085424423218
1767726485.9015176,3962,0.1748836487531662
1767726485.9663913,3984,0.10138774663209915
1767726485.9984167,3995,0.1560640037059784
1767726486.01278,4000,0.15498842298984528
1767726486.0388188,4009,0.1652955710887909
1767726486.0417082,4010,0.1001845970749855
1767726486.076037,4022,0.08885364979505539
1767726486.1082606,4033,0.11320558190345764
1767726486.1173592,4036,0.16179491579532623
1767726486.145691,4046,0.10750292986631393
1767726486.2782993,4093,0.19428110122680664
1767726486.292838,4098,0.09891296923160553
1767726486.2957213,4099,0.15168333053588867
1767726486.3241336,4109,0.13465000689029694
1767726486.5398629,4182,0.10762922465801239
1767726486.5718377,4193,0.061115384101867676
1767726486.5747225,4194,0.13827964663505554
1767726486.580579,4196,0.10566610097885132
1767726486.634651,4198,0.12980660796165466
1767726486.6440527,4201,0.0773768424987793
1767726486.6469226,4202,0.12746699154376984
1767726486.7200794,4227,0.23074325919151306
1767726486.7341464,4232,0.10572609305381775
1767726486.7434928,4235,0.09195609390735626
1767726486.767711,4243,0.10484695434570312
1767726486.8002186,4254,0.12269105017185211
1767726486.8257573,4263,0.13365668058395386
1767726486.8346722,4266,0.15403789281845093
1767726486.8375995,4267,0.1093909814953804
1767726486.881983,4282,0.10858297348022461
